Theater_Id,Theater_Name,Theater_Location,Owner_Id
1,Wang Theater,Austin,1
2,Virago Theatre,Denver,2
3,V Theater,Colorado Springs,3
4,TheatreZone,Fayetteville,4
5,The Paramount Center,Des Moines,5
6,The Factory Theatre,Minneapolis-St. Paul,6
7,The Eureka Theatre,San Francisco,7
8,Santuary Theatre,Portland,8
9,Navarasa Dance Theatre,Seattle,9
10,Margeson Theatre,Raleigh & Durham,10
11,Mad Cow Theatre,Huntsville,11
12,Ion Theatre Company,Madison,12
13,Interamerica Stage Inc.,Grand Rapids,13
14,Improv Comedy Club,San Jose,14
15,Garden Theatre,Nashville,15
16,Fiddlehead Theatre,Asheville,16
17,Elite Performance,Boise,17
18,Cygnet Theatre,Sarasota,18
19,Cutler Majestic Theatre,"Washington, D.C.",19
20,Chelsea Theatre Works,Charlotte,20
21,Charm City,Dallas-Fort Worth,21
22,Black Sheep Theatre,Greenville,22
23,Carver Theatre Developers,Portland,23
24,Black Box Theatre,Salt Lake City,24
25,Beacon Cinema Group,Melbourne,25
26,Annie Russell Theatre,Phoenix,26
27,All in One Entertainment,Boston,27
28,The Grandview,Albany,28
29,The Ambition Theatre,Lexington-Fayette,29
30,White Stellar,Houston,30